battery_id,cycle_number,start_time_iso,ambient_temperature,duration_s,v_start,v_end,v_min,v_max,v_mean,v_drop,i_mean,i_min,i_max,t_start,t_end,t_min,t_max,t_mean,temp_rise,temp_rise_rate,energy_wh,re_electrolyte_ohms,rct_charge_transfer_ohms,capacity_ah,nominal_capacity_ah,soh_pct,soh_first_cycle_pct,eol_cycle_80,rul_80,eol_cycle_70,rul_70
B0006,1,2008-04-02T15:25:41,24.0,3690.23,4.1798,2.4758,2.4758,4.1798,3.5569,1.704,-1.9905,-2.0155,0.0004,24.28,39.16,24.28,39.16,32.14,14.89,0.004034,7.2595,,,2.03534,2.0,101.767,100.0,63,62,109,108
B0006,2,2008-04-02T19:43:48,24.0,3672.34,4.1773,2.3515,2.3515,4.1773,3.5615,1.8258,-1.9903,-2.0149,-0.0002,24.65,39.25,24.64,39.25,32.29,14.6,0.003975,7.2335,,,2.02514,2.0,101.257,99.499,63,61,109,107
B0006,3,2008-04-03T00:01:06,24.0,3651.64,4.1778,2.4405,2.4405,4.1781,3.5668,1.7373,-1.9899,-2.0144,-0.0007,24.7,39.0,24.7,39.0,32.24,14.3,0.003915,7.2024,,,2.01333,2.0,100.666,98.919,63,60,109,106
B0006,4,2008-04-03T04:16:37,24.0,3631.56,4.1784,2.4792,2.4792,4.1786,3.5688,1.6992,-1.9896,-2.0142,0.0002,24.65,38.84,24.65,38.84,32.15,14.19,0.003908,7.1659,,,2.01328,2.0,100.664,98.916,63,59,109,105
B0006,5,2008-04-03T08:33:25,24.0,3629.17,4.178,2.2802,2.2802,4.1782,3.564,1.8978,-1.9895,-2.014,-0.0011,24.63,38.98,24.63,38.98,32.07,14.34,0.003952,7.1518,,,2.00053,2.0,100.026,98.29,63,58,109,104
B0006,6,2008-04-03T12:55:10,24.0,3652.28,4.1932,2.4393,2.4393,4.1932,3.5736,1.7539,-1.9901,-2.0152,-0.0015,24.34,38.84,24.34,38.84,32.03,14.5,0.003969,7.2176,,,2.0139,2.0,100.695,98.947,63,57,109,103
B0006,7,2008-04-03T17:17:16,24.0,3650.83,4.1937,2.2812,2.2812,4.1937,3.5711,1.9125,-1.9901,-2.0145,-0.0031,24.43,39.05,24.43,39.05,32.11,14.62,0.004003,7.2103,,,2.0131,2.0,100.655,98.907,63,56,109,102
B0006,8,2008-04-03T21:28:14,24.0,3572.45,4.1768,2.3664,2.3664,4.1768,3.5682,1.8104,-1.9891,-2.0147,-0.0008,24.65,38.88,24.65,38.88,32.11,14.22,0.003982,7.0475,,,1.96879,2.0,98.439,96.73,63,55,109,101
B0006,9,2008-04-04T01:38:15,24.0,3550.59,4.1762,2.436,2.436,4.1764,3.5693,1.7401,-1.9892,-2.0151,-0.001,24.56,38.73,24.56,38.73,32.04,14.16,0.003988,7.0069,,,1.96817,2.0,98.408,96.7,63,54,109,100
B0006,10,2008-04-04T05:48:08,24.0,3551.25,4.1769,2.1864,2.1864,4.1769,3.5634,1.9905,-1.9892,-2.0155,0.0001,24.53,38.99,24.52,38.99,32.0,14.46,0.004072,6.997,,,1.95723,2.0,97.862,96.162,63,53,109,99
B0006,11,2008-04-04T09:57:19,24.0,3530.25,4.1776,2.3406,2.3406,4.1776,3.5667,1.837,-1.9891,-2.0141,-0.0021,24.41,38.66,24.41,38.66,31.87,14.25,0.004036,6.962,,,1.9456,2.0,97.28,95.591,63,52,109,98
B0006,12,2008-04-04T17:56:27,24.0,3491.02,4.1779,2.4263,2.4263,4.178,3.5687,1.7516,-1.9888,-2.0135,-0.001,24.67,38.85,24.67,38.85,32.12,14.18,0.004063,6.8871,,,1.93475,2.0,96.738,95.058,63,51,109,97
B0006,13,2008-04-04T22:01:54,24.0,3470.28,4.1761,2.4754,2.4754,4.1763,3.5692,1.7008,-1.9887,-2.0149,-0.0003,24.83,38.75,24.82,38.75,32.11,13.92,0.004011,6.8474,,,1.92328,2.0,96.164,94.494,63,50,109,96
B0006,14,2008-04-05T02:20:26,24.0,3470.0,4.1778,2.3424,2.3424,4.178,3.5659,1.8354,-1.9887,-2.0144,-0.0004,24.63,38.77,24.63,38.77,31.99,14.14,0.004074,6.8407,,,1.91189,2.0,95.594,93.935,63,49,109,95
B0006,15,2008-04-05T06:25:01,24.0,3450.3,4.1771,2.1884,2.1884,4.1774,3.5612,1.9887,-1.9888,-2.0145,-0.0011,24.46,38.85,24.45,38.85,31.88,14.38,0.004169,6.7938,,,1.90107,2.0,95.053,93.403,63,48,109,94
B0006,16,2008-04-05T10:30:32,24.0,3429.41,4.1755,2.1207,2.1207,4.1756,3.5579,2.0548,-1.9886,-2.0147,-0.0038,24.27,38.87,24.27,38.87,31.77,14.6,0.004256,6.7457,,,1.8892,2.0,94.46,92.82,63,47,109,93
B0006,17,2008-04-05T14:34:41,24.0,3409.48,4.1774,2.37,2.37,4.1776,3.5628,1.8074,-1.9885,-2.0159,0.001,24.35,38.65,24.35,38.65,31.79,14.29,0.004192,6.7154,,,1.87828,2.0,93.914,92.283,63,46,109,92
B0006,18,2008-04-05T18:39:25,24.0,3390.42,4.1764,2.248,2.248,4.1764,3.5592,1.9284,-1.9883,-2.0143,0.0003,24.38,38.79,24.38,38.79,31.83,14.41,0.00425,6.671,,,1.86757,2.0,93.378,91.757,63,45,109,91
B0006,19,2008-04-05T22:46:35,24.0,3390.28,4.1771,2.8844,2.4115,4.1775,3.5581,1.7656,-1.9775,-2.0159,-0.0023,24.47,38.77,24.46,38.77,31.89,14.3,0.004219,6.6492,,,1.86759,2.0,93.379,91.758,63,44,109,90
B0006,20,2008-04-18T21:10:19,24.0,3591.73,4.1746,2.2034,2.2034,4.1746,3.5659,1.9712,-1.9892,-2.0202,0.001,24.51,37.54,24.51,37.54,31.51,13.03,0.003628,7.0816,0.061234,0.078542,1.97963,2.0,98.981,97.263,63,43,109,89
B0006,21,2008-04-19T02:29:09,24.0,3552.3,4.1752,2.3589,2.3589,4.1752,3.5708,1.8163,-1.989,-2.0141,-0.0003,24.91,37.9,24.91,37.9,31.87,12.99,0.003658,7.0129,0.06063,0.078024,1.95755,2.0,97.877,96.178,63,42,109,88
B0006,22,2008-04-19T07:47:15,24.0,3531.58,4.1772,2.2187,2.2187,4.1772,3.5667,1.9585,-1.9887,-2.014,-0.0012,24.57,37.67,24.57,37.67,31.54,13.1,0.003709,6.9635,0.06086,0.078402,1.94582,2.0,97.291,95.602,63,41,109,87
B0006,23,2008-04-19T13:01:42,24.0,3492.91,4.1765,2.3397,2.3397,4.1767,3.5668,1.8368,-1.9885,-2.0149,0.0005,24.23,37.34,24.22,37.34,31.22,13.12,0.003755,6.8868,0.060065,0.078071,1.92425,2.0,96.212,94.542,63,40,109,86
B0006,24,2008-04-19T18:27:29,24.0,3511.59,4.19,2.3998,2.3998,4.1904,3.5711,1.7903,-1.9886,-2.0136,-0.0024,24.04,37.29,24.03,37.29,31.12,13.25,0.003773,6.9313,0.059131,0.077956,1.94598,2.0,97.299,95.61,63,39,109,85
