battery_id,cycle_number,start_time_iso,ambient_temperature,duration_s,v_start,v_end,v_min,v_max,v_mean,v_drop,v_std,voltage_slope,v_skew,dc_internal_resistance,i_mean,i_min,i_max,t_start,t_end,t_min,t_max,t_mean,temp_rise,temp_rise_rate,temp_std,energy_wh,re_electrolyte_ohms,rct_charge_transfer_ohms,capacity_ah,nominal_capacity_ah,soh_pct,soh_first_cycle_pct,eol_cycle_80,rul_80,eol_cycle_70,rul_70
B0005,1,2008-04-02T15:25:41,24.0,3690.23,4.1915,3.2772,2.6125,4.1915,3.5298,1.579,0.236,0.0002478,-0.5078,0.10727,-1.8187,-2.018,0.0007,24.33,34.23,24.33,38.98,32.57,14.65,0.003971,3.487,6.6087,,,1.85649,2.0,92.824,100.0,75,74,125,124.0
B0005,2,2008-04-02T19:43:48,24.0,3672.34,4.1898,3.3002,2.5872,4.1898,3.5373,1.6026,0.2348,0.0002422,-0.5501,0.1041,-1.8176,-2.0168,0.0029,24.7,34.39,24.69,39.03,32.73,14.34,0.003904,3.427,6.586,,,1.84633,2.0,92.316,99.453,75,73,125,123.0
B0005,3,2008-04-03T00:01:06,24.0,3651.64,4.1882,3.3275,2.6519,4.1882,3.5437,1.5363,0.2275,0.0002357,-0.4394,0.10281,-1.8165,-2.0166,0.0015,24.73,34.23,24.73,38.82,32.64,14.08,0.003857,3.379,6.5555,,,1.83535,2.0,91.767,98.861,75,72,125,122.0
B0005,4,2008-04-03T04:16:37,24.0,3631.56,4.1885,3.3142,2.5929,4.1885,3.5437,1.5955,0.2327,0.0002407,-0.5478,0.10247,-1.8256,-2.0159,0.0015,24.65,34.41,24.65,38.76,32.51,14.11,0.003885,3.387,6.5547,,,1.83526,2.0,91.763,98.857,75,71,125,121.0
B0005,5,2008-04-03T08:33:25,24.0,3629.17,4.1883,3.3055,2.5474,4.1883,3.5423,1.6409,0.2367,0.0002433,-0.6234,0.10185,-1.8261,-2.0174,0.0017,24.52,34.35,24.52,38.67,32.38,14.14,0.003896,3.396,6.5521,,,1.83465,2.0,91.732,98.823,75,70,125,120.0
B0005,6,2008-04-03T12:55:10,24.0,3652.28,4.1888,3.3023,2.5209,4.1888,3.5413,1.6679,0.2393,0.0002427,-0.6508,0.1016,-1.8168,-2.0162,0.0025,24.52,34.2,24.51,38.75,32.43,14.23,0.003896,3.417,6.5572,,,1.83566,2.0,91.783,98.878,75,69,125,119.0
B0005,7,2008-04-03T17:17:16,24.0,3650.83,4.1884,3.2937,2.4879,4.1884,3.541,1.7005,0.2425,0.0002451,-0.7041,0.10077,-1.8168,-2.0158,0.0023,24.58,34.3,24.58,38.82,32.48,14.24,0.003899,3.42,6.5569,,,1.83515,2.0,91.757,98.85,75,68,125,118.0
B0005,8,2008-04-03T21:28:14,24.0,3572.45,4.1889,3.3162,2.6652,4.1889,3.5541,1.5237,0.2273,0.0002443,-0.4484,0.10035,-1.8443,-2.0166,0.0022,24.71,34.76,24.71,38.52,32.41,13.8,0.003864,3.352,6.535,,,1.82576,2.0,91.288,98.345,75,67,125,117.0
B0005,9,2008-04-04T01:38:15,24.0,3550.59,4.189,3.2974,2.6039,4.189,3.5529,1.5852,0.2325,0.0002511,-0.5658,0.10002,-1.854,-2.0184,0.0054,24.64,35.05,24.63,38.53,32.35,13.89,0.003912,3.372,6.5288,,,1.82477,2.0,91.239,98.292,75,66,125,116.0
B0005,10,2008-04-04T05:48:08,24.0,3551.25,4.1892,3.2884,2.5529,4.1892,3.5512,1.6364,0.2367,0.0002537,-0.6476,0.10023,-1.8536,-2.0161,0.003,24.57,35.03,24.56,38.53,32.28,13.95,0.00393,3.384,6.5264,,,1.82461,2.0,91.231,98.283,75,65,125,115.0
