battery_id,cycle_number,start_time_iso,ambient_temperature,duration_s_scaled,v_start_scaled,v_end_scaled,v_min_scaled,v_max_scaled,v_mean_scaled,v_drop_scaled,v_std_scaled,voltage_slope_scaled,v_skew_scaled,dc_internal_resistance_scaled,i_mean_scaled,i_min_scaled,i_max_scaled,t_start_scaled,t_end_scaled,t_min_scaled,t_max_scaled,t_mean_scaled,temp_rise_scaled,temp_rise_rate_scaled,temp_std_scaled,energy_wh_scaled,capacity_ah,nominal_capacity_ah,soh_pct,soh_first_cycle_pct,eol_cycle_80,rul_80,eol_cycle_70,rul_70
B0005,1,2008-04-02T15:25:41,24.0,2.28004,0.29375,-0.32451,0.61331,0.28798,0.72143,-0.62619,-0.05369,-0.03625,0.17082,-0.09561,-0.19726,-0.48764,-0.69728,0.26659,-0.87904,0.27341,-0.69525,-0.25886,-0.8175,-1.43658,-1.07004,1.3021,1.85649,2.0,92.824,100.0,75,74,125,124.0
B0005,2,2008-04-02T19:43:48,24.0,2.20729,0.10122,-0.2573,0.4197,0.09446,0.85822,-0.43563,-0.18095,-0.10111,0.00185,-0.39334,-0.18785,-0.04481,0.637,1.07316,-0.77003,1.05916,-0.65561,-0.07226,-1.07113,-1.52509,-1.21586,1.27586,1.84633,2.0,92.316,99.453,75,73,125,123.0
B0005,3,2008-04-03T00:01:06,24.0,2.12312,-0.07998,-0.17752,0.91484,-0.08768,0.97495,-0.97098,-0.9551,-0.1764,0.44405,-0.5145,-0.17843,0.02899,-0.21209,1.13856,-0.87904,1.14646,-0.82209,-0.17722,-1.28386,-1.58717,-1.33251,1.24059,1.83535,2.0,91.767,98.861,75,72,125,122.0
B0005,4,2008-04-03T04:16:37,24.0,2.04147,-0.04601,-0.21639,0.46332,-0.05353,0.97495,-0.49296,-0.40365,-0.11849,0.01104,-0.54644,-0.2563,0.28731,-0.21209,0.96416,-0.75641,0.97185,-0.86966,-0.32883,-1.25931,-1.55019,-1.31307,1.23967,1.83526,2.0,91.763,98.857,75,71,125,121.0
B0005,5,2008-04-03T08:33:25,24.0,2.03175,-0.06866,-0.24181,0.11511,-0.0763,0.94942,-0.12637,0.02055,-0.08837,-0.29095,-0.60467,-0.26058,-0.26623,-0.09079,0.68077,-0.79728,0.68811,-0.94101,-0.48044,-1.23477,-1.53566,-1.2912,1.23666,1.83465,2.0,91.732,98.823,75,70,125,120.0
B0005,6,2008-04-03T12:55:10,24.0,2.12572,-0.01203,-0.25116,-0.08769,-0.01938,0.93118,0.09165,0.29627,-0.09532,-0.4004,-0.62815,-0.181,0.17661,0.3944,0.68077,-0.89948,0.66628,-0.87759,-0.42213,-1.16113,-1.53566,-1.24016,1.24256,1.83566,2.0,91.783,98.878,75,69,125,119.0
B0005,7,2008-04-03T17:17:16,24.0,2.11983,-0.05733,-0.2763,-0.34023,-0.06491,0.92571,0.35488,0.63563,-0.06752,-0.6133,-0.7061,-0.181,0.32422,0.2731,0.81157,-0.83135,0.81907,-0.82209,-0.36382,-1.15295,-1.53169,-1.23287,1.24221,1.83515,2.0,91.757,98.85,75,68,125,118.0
B0005,8,2008-04-03T21:28:14,24.0,1.8011,-0.00071,-0.21054,1.01662,-0.008,1.16463,-1.07272,-0.97631,-0.07679,0.4081,-0.74555,-0.41631,0.02899,0.21245,1.09496,-0.51794,1.10281,-1.05992,-0.44545,-1.51295,-1.57793,-1.39813,1.21689,1.82576,2.0,91.288,98.345,75,67,125,117.0
B0005,9,2008-04-04T01:38:15,24.0,1.71221,0.01062,-0.26548,0.5475,0.00339,1.14275,-0.57613,-0.42486,0.00197,-0.06086,-0.77655,-0.49932,-0.63525,2.15323,0.94236,-0.32036,0.9282,-1.05199,-0.51542,-1.43931,-1.51452,-1.34952,1.20972,1.82477,2.0,91.239,98.292,75,66,125,116.0
B0005,10,2008-04-04T05:48:08,24.0,1.7149,0.03327,-0.29178,0.1572,0.02616,1.11174,-0.1627,0.02055,0.03208,-0.38761,-0.75682,-0.49589,0.21351,0.69765,0.78977,-0.33399,0.77542,-1.05199,-0.59706,-1.39022,-1.49074,-1.32036,1.20695,1.82461,2.0,91.231,98.283,75,65,125,115.0
