battery_id,cycle_number,start_time_iso,ambient_temperature,duration_s_scaled,v_start_scaled,v_end_scaled,v_min_scaled,v_max_scaled,v_mean_scaled,v_drop_scaled,v_std_scaled,voltage_slope_scaled,v_skew_scaled,dc_internal_resistance_scaled,i_mean_scaled,i_min_scaled,i_max_scaled,t_start_scaled,t_end_scaled,t_min_scaled,t_max_scaled,t_mean_scaled,temp_rise_scaled,temp_rise_rate_scaled,temp_std_scaled,energy_wh_scaled,capacity_ah,nominal_capacity_ah,soh_pct,soh_first_cycle_pct,eol_cycle_80,rul_80,eol_cycle_70,rul_70
B0005,1,2008-04-02T15:25:41,24.0,1.43205,0.22071,-0.84044,0.51192,0.21918,0.31157,-0.49602,0.09043,0.57476,-0.28571,0.18939,-0.16292,-0.68571,-0.625,0.25926,-0.69341,0.26415,-0.54545,-0.3037,-0.60412,-0.84253,-0.66625,0.80713,1.85649,2.0,92.824,100.0,75,74,125,124.0
B0005,2,2008-04-02T19:43:48,24.0,1.38965,0.10526,-0.76053,0.40225,0.10274,0.37843,-0.38707,0.00696,0.46602,-0.55133,-0.00617,-0.15736,-0.22857,0.75,0.94444,-0.60172,0.9434,-0.52244,-0.18519,-0.746,-0.88916,-0.74196,0.79274,1.84633,2.0,92.316,99.453,75,73,125,123.0
B0005,3,2008-04-03T00:01:06,24.0,1.34058,-0.0034,-0.66568,0.6827,-0.00685,0.43548,-0.69313,-0.50087,0.33981,0.1438,-0.08575,-0.15181,-0.15238,-0.125,1.0,-0.69341,1.01887,-0.6191,-0.25185,-0.86499,-0.92187,-0.80252,0.77339,1.83535,2.0,91.767,98.861,75,72,125,122.0
B0005,4,2008-04-03T04:16:37,24.0,1.29299,0.01698,-0.71189,0.42696,0.0137,0.43548,-0.41985,-0.13913,0.43689,-0.53689,-0.10672,-0.19778,0.11429,-0.125,0.85185,-0.59026,0.86792,-0.64672,-0.34815,-0.85126,-0.90238,-0.79243,0.77289,1.83526,2.0,91.763,98.857,75,71,125,121.0
B0005,5,2008-04-03T08:33:25,24.0,1.28732,0.0034,-0.74212,0.22974,0.0,0.423,-0.21027,0.13913,0.48738,-1.01162,-0.14497,-0.2003,-0.45714,0.0,0.61111,-0.62464,0.62264,-0.68815,-0.44444,-0.83753,-0.89473,-0.78107,0.77124,1.83465,2.0,91.732,98.823,75,70,125,120.0
B0005,6,2008-04-03T12:55:10,24.0,1.3421,0.03735,-0.75324,0.11487,0.03425,0.41409,-0.08563,0.32,0.47573,-1.18367,-0.16039,-0.15332,0.0,0.5,0.61111,-0.7106,0.60377,-0.65132,-0.40741,-0.79634,-0.89473,-0.75457,0.77447,1.83566,2.0,91.783,98.878,75,69,125,119.0
B0005,7,2008-04-03T17:17:16,24.0,1.33866,0.01019,-0.78311,-0.02818,0.00685,0.41141,0.06486,0.54261,0.52233,-1.51837,-0.2116,-0.15332,0.15238,0.375,0.72222,-0.6533,0.73585,-0.6191,-0.37037,-0.79176,-0.89264,-0.75079,0.77428,1.83515,2.0,91.757,98.85,75,68,125,118.0
B0005,8,2008-04-03T21:28:14,24.0,1.15288,0.04414,-0.70494,0.74036,0.0411,0.52819,-0.7513,-0.51478,0.5068,0.08728,-0.23751,-0.29225,-0.15238,0.3125,0.96296,-0.38968,0.98113,-0.75719,-0.42222,-0.99314,-0.917,-0.83659,0.76039,1.82576,2.0,91.288,98.345,75,67,125,117.0
B0005,9,2008-04-04T01:38:15,24.0,1.10106,0.05093,-0.77026,0.47464,0.04795,0.51749,-0.4674,-0.15304,0.63883,-0.64992,-0.25787,-0.34125,-0.8381,2.3125,0.83333,-0.2235,0.83019,-0.75259,-0.46667,-0.95195,-0.88359,-0.81136,0.75646,1.82477,2.0,91.239,98.292,75,66,125,116.0
B0005,10,2008-04-04T05:48:08,24.0,1.10262,0.06452,-0.80153,0.25358,0.06164,0.50234,-0.23104,0.13913,0.68932,-1.16358,-0.24491,-0.33923,0.0381,0.8125,0.7037,-0.23496,0.69811,-0.75259,-0.51852,-0.92449,-0.87106,-0.79621,0.75494,1.82461,2.0,91.231,98.283,75,65,125,115.0
