DURATION_S,V_START,V_END,V_MIN,V_MAX,V_MEAN,V_DROP,VOLTAGE_SLOPE,V_STD,V_SKEW,I_MEAN,I_MIN,I_MAX,T_START,T_END,T_MIN,T_MAX,T_MEAN,TEMP_RISE,TEMP_RISE_RATE,TEMP_STD,DC_IR,ENERGY_WH,Target_SoH,Target_RUL
13441.61,12.568,9.446,9.359,12.568,11.007,3.122,0.000232,0.88,0.15,0.765,0.662,0.949,22.6,26.7,22.6,26.7,24.7,4.1,0.000305,1.045,0.0447,39.92,99.93,800
13710.97,12.57,9.17,9.077,12.57,10.87,3.4,0.000248,1.041,0.307,0.725,0.591,1.016,22.7,26.3,22.7,26.8,24.5,4.06,0.000296,1.23,0.0478,40.05,100.07,799
13591.48,12.562,9.431,9.32,12.562,10.996,3.131,0.00023,0.893,-0.399,0.774,0.669,1.015,22.6,26.5,22.6,26.5,24.5,3.98,0.000293,0.778,0.0441,38.98,98.59,798
11706.61,12.594,9.324,9.211,12.594,10.959,3.27,0.000279,1.056,0.057,0.755,0.582,0.889,22.8,26.7,22.8,27.2,24.7,4.46,0.000381,1.185,0.044,39.58,99.54,797
11968.63,12.527,9.105,8.977,12.527,10.816,3.421,0.000286,0.984,-0.235,0.743,0.611,1.018,22.2,25.4,22.2,25.8,23.8,3.6,0.000301,0.747,0.0427,40.13,100.28,796
12162.98,12.522,9.499,9.39,12.522,11.01,3.023,0.000249,0.969,-0.436,0.676,0.571,0.794,23.0,27.1,23.0,27.5,25.1,4.42,0.000363,0.882,0.0452,38.83,99.39,795
10875.32,12.572,9.341,9.231,12.572,10.956,3.231,0.000297,1.182,0.376,0.712,0.548,0.865,22.9,26.8,22.9,27.1,24.9,4.16,0.000383,0.763,0.0458,41.1,100.31,794
11795.59,12.564,9.304,9.213,12.564,10.934,3.259,0.000276,0.93,-0.481,0.677,0.523,0.93,22.6,25.6,22.6,25.6,24.1,3.0,0.000254,1.429,0.046,40.6,99.34,793
14000.32,12.595,9.043,8.937,12.595,10.819,3.552,0.000254,1.02,-0.235,0.746,0.57,0.86,22.5,25.9,22.5,26.1,24.2,3.6,0.000257,1.372,0.0436,40.05,100.28,792
11437.08,12.531,9.498,9.381,12.531,11.014,3.034,0.000265,1.035,-0.27,0.71,0.558,0.898,22.8,26.6,22.8,26.8,24.7,4.05,0.000354,0.72,0.047,38.91,99.24,791
13913.73,12.507,9.119,9.001,12.507,10.813,3.388,0.000244,1.114,0.307,0.838,0.724,0.98,23.1,26.5,23.1,26.7,24.8,3.63,0.000261,0.69,0.0477,40.2,100.14,790
13409.31,12.567,9.492,9.402,12.567,11.03,3.075,0.000229,0.979,-0.078,0.756,0.622,0.936,22.7,26.1,22.7,26.2,24.4,3.47,0.000259,0.779,0.0479,39.46,99.89,789
12704.66,12.505,9.5,9.37,12.505,11.002,3.005,0.000237,0.885,-0.099,0.765,0.572,1.059,22.7,26.1,22.7,26.4,24.4,3.68,0.000289,0.559,0.0513,38.83,99.4,788
12226.27,12.542,9.479,9.342,12.542,11.01,3.064,0.000251,1.032,0.042,0.817,0.645,1.028,22.7,26.8,22.7,27.3,24.8,4.53,0.00037,1.248,0.051,39.24,98.3,787
11357.68,12.596,9.04,8.946,12.596,10.818,3.556,0.000313,0.898,0.095,0.728,0.561,0.947,22.5,26.5,22.5,26.9,24.5,4.41,0.000388,1.119,0.048,38.99,99.92,786
11382.09,12.572,9.119,9.014,12.572,10.845,3.452,0.000303,0.983,0.498,0.713,0.583,0.948,22.2,26.7,22.2,26.7,24.4,4.52,0.000398,1.496,0.0485,38.31,98.67,785
13902.68,12.588,9.185,9.092,12.588,10.886,3.403,0.000245,0.803,0.317,0.846,0.675,1.113,21.4,24.2,21.4,24.5,22.8,3.11,0.000224,0.799,0.048,39.69,99.51,784
11021.79,12.555,9.136,9.024,12.555,10.846,3.419,0.00031,1.162,0.346,0.749,0.628,0.992,22.2,25.7,22.2,25.9,24.0,3.71,0.000336,0.592,0.0435,39.58,98.54,783
12929.03,12.526,9.371,9.258,12.526,10.948,3.156,0.000244,1.018,0.335,0.732,0.631,0.917,23.4,27.7,23.4,28.1,25.5,4.69,0.000363,1.083,0.0484,40.36,98.74,782
13557.53,12.586,9.449,9.353,12.586,11.018,3.137,0.000231,1.048,-0.345,0.83,0.72,0.98,22.7,25.5,22.7,25.7,24.1,2.97,0.000219,1.43,0.0487,39.3,99.21,781
10878.51,12.574,9.166,9.038,12.574,10.87,3.408,0.000313,0.843,0.372,0.634,0.448,0.895,22.6,26.1,22.6,26.5,24.4,3.83,0.000352,1.359,0.0439,40.35,99.9,780
13541.46,12.523,9.012,8.914,12.523,10.767,3.511,0.000259,0.96,0.481,0.741,0.554,0.906,22.9,26.6,22.9,26.9,24.8,4.05,0.000299,1.036,0.0518,39.23,99.11,779
14140.98,12.527,9.054,8.947,12.527,10.79,3.472,0.000246,1.031,-0.245,0.724,0.593,0.97,22.0,25.5,22.0,25.7,23.8,3.65,0.000258,1.209,0.0479,39.96,99.13,778
13469.63,12.567,9.182,9.093,12.567,10.875,3.385,0.000251,0.92,-0.191,0.711,0.578,0.944,22.1,26.9,22.1,27.2,24.5,5.1,0.000378,0.908,0.0485,39.22,99.99,777
13966.52,12.568,9.451,9.334,12.568,11.01,3.116,0.000223,1.032,0.155,0.767,0.613,0.928,22.9,26.8,22.9,27.0,24.8,4.08,0.000292,0.965,0.0496,39.75,98.46,776
13450.58,12.517,9.042,8.931,12.517,10.78,3.475,0.000258,0.89,-0.301,0.748,0.615,0.975,22.8,26.0,22.8,26.3,24.4,3.45,0.000257,0.524,0.0492,38.31,98.43,775
12134.45,12.563,9.097,8.975,12.563,10.83,3.466,0.000286,1.108,-0.393,0.714,0.59,0.913,22.5,26.3,22.5,26.7,24.4,4.22,0.000348,0.925,0.0512,39.6,98.72,774
11605.32,12.585,9.228,9.099,12.585,10.907,3.357,0.000289,1.045,0.219,0.728,0.529,0.962,21.5,24.7,21.5,25.1,23.1,3.66,0.000315,1.005,0.0535,39.53,99.22,773
12371.92,12.526,9.124,9.007,12.526,10.825,3.402,0.000275,0.914,-0.228,0.68,0.528,0.934,22.2,25.9,22.2,25.9,24.0,3.67,0.000297,0.82,0.047,40.22,98.91,772
13114.37,12.506,9.204,9.091,12.506,10.855,3.303,0.000252,1.078,0.357,0.806,0.686,0.99,21.5,26.0,21.5,26.3,23.8,4.75,0.000362,1.266,0.0491,39.4,98.29,771
13658.82,12.595,9.21,9.086,12.595,10.902,3.386,0.000248,0.812,-0.164,0.797,0.637,1.006,22.6,26.9,22.6,27.1,24.7,4.51,0.00033,1.179,0.0496,38.88,98.46,770
12805.71,12.503,9.197,9.082,12.503,10.85,3.306,0.000258,0.952,-0.288,0.735,0.571,0.841,22.9,27.3,22.9,27.3,25.1,4.41,0.000344,0.827,0.0503,39.03,98.2,769
11524.88,12.508,9.01,8.898,12.508,10.759,3.498,0.000304,1.102,0.45,0.636,0.501,0.936,22.0,25.3,22.0,25.6,23.6,3.6,0.000312,0.699,0.0479,39.39,98.43,768
12655.18,12.522,9.35,9.225,12.522,10.936,3.172,0.000251,1.186,-0.392,0.783,0.622,0.917,22.5,26.2,22.5,26.7,24.4,4.16,0.000329,0.526,0.0501,39.98,98.64,767
13108.52,12.508,9.345,9.225,12.508,10.926,3.162,0.000241,1.194,0.283,0.717,0.54,0.837,22.9,26.4,22.9,26.4,24.6,3.52,0.000269,0.847,0.0529,39.69,98.01,766
13555.91,12.582,9.053,8.917,12.582,10.818,3.529,0.00026,1.186,-0.23,0.728,0.545,0.955,22.4,25.9,22.4,26.2,24.1,3.88,0.000286,1.308,0.0511,38.67,97.82,765
11488.74,12.585,9.415,9.325,12.585,11.0,3.17,0.000276,0.811,0.351,0.762,0.638,1.038,21.8,26.0,21.8,26.2,23.9,4.38,0.000381,0.682,0.0499,38.31,97.64,764
13105.85,12.528,9.005,8.868,12.528,10.766,3.523,0.000269,1.058,-0.009,0.817,0.645,0.934,21.7,25.8,21.7,26.1,23.7,4.46,0.00034,1.293,0.054,38.79,98.36,763
12686.67,12.547,9.265,9.157,12.547,10.906,3.282,0.000259,0.848,-0.307,0.69,0.557,0.939,22.4,26.1,22.4,26.2,24.2,3.82,0.000301,0.62,0.0515,39.21,98.4,762
12194.92,12.572,9.488,9.376,12.572,11.03,3.084,0.000253,0.806,0.034,0.762,0.652,0.919,22.6,27.0,22.6,27.1,24.8,4.51,0.00037,0.774,0.0501,39.03,97.22,761
13735.19,12.549,9.436,9.321,12.549,10.993,3.113,0.000227,0.991,0.322,0.705,0.561,0.899,22.6,26.8,22.6,27.3,24.7,4.72,0.000344,0.901,0.0506,39.37,98.63,760
12644.04,12.53,9.497,9.403,12.53,11.014,3.033,0.00024,0.98,-0.057,0.739,0.579,0.992,22.6,26.4,22.6,26.6,24.5,4.03,0.000319,1.36,0.0524,39.7,98.58,759
13238.93,12.595,9.104,9.006,12.595,10.849,3.491,0.000264,0.98,0.094,0.683,0.567,0.915,22.6,26.9,22.6,26.9,24.7,4.31,0.000325,0.791,0.0512,38.83,98.33,758
13001.26,12.592,9.394,9.273,12.592,10.993,3.198,0.000246,1.163,0.327,0.677,0.484,0.91,21.9,26.4,21.9,26.7,24.2,4.75,0.000366,0.571,0.0546,39.02,97.94,757
11604.12,12.512,9.344,9.221,12.512,10.928,3.168,0.000273,0.973,-0.178,0.665,0.515,0.954,22.3,26.5,22.3,26.5,24.4,4.19,0.000361,0.75,0.0531,39.2,98.02,756
14055.5,12.6,9.336,9.233,12.6,10.968,3.264,0.000232,0.873,0.085,0.674,0.498,0.782,21.8,26.1,21.8,26.6,23.9,4.77,0.000339,1.135,0.0545,39.87,98.82,755
12879.73,12.586,9.165,9.042,12.586,10.875,3.421,0.000266,0.926,-0.177,0.767,0.572,0.924,22.7,26.4,22.7,26.6,24.5,3.84,0.000298,1.47,0.0519,38.73,97.48,754
12390.45,12.541,9.094,8.987,12.541,10.818,3.448,0.000278,1.171,-0.062,0.725,0.562,0.976,22.5,26.4,22.5,26.7,24.5,4.14,0.000334,1.198,0.0534,39.59,97.15,753
11207.8,12.555,9.276,9.181,12.555,10.916,3.279,0.000293,0.999,0.217,0.707,0.515,1.005,22.3,26.5,22.3,27.0,24.4,4.7,0.000419,1.009,0.0559,39.14,98.57,752
12453.55,12.538,9.461,9.345,12.538,11.0,3.077,0.000247,1.174,0.008,0.725,0.539,1.001,22.4,27.5,22.4,27.7,24.9,5.31,0.000427,1.321,0.0561,39.34,97.41,751
12237.8,12.515,9.269,9.163,12.515,10.892,3.246,0.000265,1.079,0.072,0.634,0.48,0.844,22.1,26.4,22.1,26.5,24.3,4.47,0.000365,0.734,0.0541,37.39,97.41,750
13374.46,12.539,9.332,9.203,12.539,10.935,3.207,0.00024,1.148,0.374,0.652,0.502,0.948,23.1,27.5,23.1,27.8,25.3,4.7,0.000351,0.94,0.0521,38.96,97.47,749
12743.4,12.515,9.235,9.098,12.515,10.875,3.281,0.000257,1.144,-0.12,0.679,0.51,0.847,21.9,25.4,21.9,25.8,23.7,3.92,0.000307,0.817,0.0524,38.65,96.85,748
10735.38,12.563,9.46,9.324,12.563,11.012,3.103,0.000289,0.977,0.194,0.72,0.577,0.97,23.1,27.8,23.1,28.2,25.4,5.14,0.000479,1.403,0.0496,38.97,97.19,747
11115.09,12.553,9.283,9.154,12.553,10.918,3.27,0.000294,1.165,-0.357,0.777,0.669,0.911,23.0,26.8,23.0,26.9,24.9,3.93,0.000353,0.961,0.0541,39.13,98.15,746
13656.79,12.568,9.079,8.967,12.568,10.823,3.489,0.000255,1.138,-0.301,0.735,0.577,0.904,22.2,26.1,22.2,26.2,24.1,4.05,0.000296,0.885,0.0548,39.8,97.24,745
13918.63,12.53,9.489,9.367,12.53,11.009,3.041,0.000218,1.043,-0.003,0.701,0.545,0.856,22.2,25.8,22.2,25.8,24.0,3.6,0.000259,1.404,0.0536,38.15,96.83,744
12692.28,12.562,9.339,9.211,12.562,10.95,3.223,0.000254,0.924,-0.059,0.701,0.517,0.933,21.8,25.3,21.8,25.6,23.5,3.9,0.000307,1.08,0.057,38.41,96.95,743
